Rank,Country,Continent,Score,Economy,Health,Freedom,Corruption
1,Finland,Europe,7.769,1.34,0.986,0.596,0.06
2,Denmark,Europe,7.6,1.383,0.996,0.592,0.043
3,Norway,Europe,7.554,1.488,1.028,0.603,0.112
4,Iceland,Europe,7.494,1.38,1.026,0.591,0.335
5,Netherlands,Europe,7.488,1.396,0.999,0.557,0.155
6,Switzerland,Europe,7.48,1.452,1.052,0.572,0.11
7,Sweden,Europe,7.343,1.387,1.009,0.574,0.08
8,New Zealand,Oceania,7.307,1.303,1.026,0.585,0.073
9,Canada,North America,7.278,1.365,1.039,0.584,0.145
10,Austria,Europe,7.246,1.376,1.016,0.532,0.227
11,Australia,Oceania,7.228,1.372,1.036,0.557,0.163
12,Costa Rica,North America,7.167,1.034,0.963,0.558,0.36
13,Israel,Asia,7.139,1.276,1.029,0.371,0.371
14,Luxembourg,Europe,7.09,1.609,1.012,0.526,0.137
15,United Kingdom,Europe,7.054,1.333,0.996,0.45,0.175
16,Ireland,Europe,7.021,1.499,0.999,0.516,0.143
17,Germany,Europe,6.985,1.373,0.987,0.495,0.188
18,Belgium,Europe,6.923,1.356,0.986,0.473,0.243
19,United States,North America,6.892,1.433,0.874,0.454,0.325
20,Czech Republic,Europe,6.852,1.269,0.92,0.457,0.417
21,United Arab Emirates,Asia,6.825,1.503,0.825,0.598,0.271
22,Malta,Europe,6.726,1.3,0.999,0.564,0.302
23,Mexico,North America,6.595,1.07,0.861,0.433,0.38
24,France,Europe,6.592,1.324,1.045,0.436,0.27
25,Taiwan,Asia,6.446,1.368,0.914,0.351,0.356
26,Chile,South America,6.444,1.159,0.92,0.357,0.397
27,Guatemala,North America,6.436,0.8,0.746,0.535,0.375
28,Saudi Arabia,Asia,6.375,1.403,0.795,0.439,0.321
29,Qatar,Asia,6.374,1.684,0.871,0.555,0.286
30,Spain,Europe,6.354,1.286,1.062,0.362,0.374
31,Panama,North America,6.321,1.149,0.91,0.516,0.399
32,Brazil,South America,6.3,1.004,0.802,0.39,0.367
33,Uruguay,South America,6.293,1.124,0.891,0.523,0.303
34,Singapore,Asia,6.262,1.572,1.141,0.556,0
35,El Salvador,North America,6.253,0.794,0.789,0.43,0.379
36,Italy,Europe,6.223,1.294,1.039,0.231,0.423
37,Bahrain,Asia,6.199,1.362,0.871,0.536,0.343
38,Slovakia,Europe,6.198,1.246,0.881,0.334,0.439
39,Trinidad & Tobago,North America,6.192,1.231,0.713,0.489,0.437
40,Poland,Europe,6.182,1.206,0.884,0.483,0.403
41,Uzbekistan,Asia,6.174,0.745,0.756,0.631,0.213
42,Lithuania,Europe,6.149,1.238,0.818,0.291,0.411
43,Colombia,South America,6.125,0.985,0.841,0.47,0.419
44,Slovenia,Europe,6.118,1.258,0.953,0.564,0.396
45,Nicaragua,North America,6.105,0.694,0.835,0.435,0.326
46,Kosovo,Europe,6.1,0.882,0.758,0.489,0.447
47,Argentina,South America,6.086,1.092,0.881,0.471,0.403
48,Romania,Europe,6.07,1.162,0.825,0.462,0.448
49,Cyprus,Europe,6.046,1.263,1.042,0.406,0.412
50,Ecuador,South America,6.028,0.912,0.868,0.498,0.366
51,Kuwait,Asia,6.021,1.5,0.808,0.493,0.356
52,Thailand,Asia,6.008,1.05,0.828,0.557,0.425
53,Latvia,Europe,5.94,1.187,0.812,0.264,0.389
54,South Korea,Asia,5.895,1.301,1.036,0.159,0.397
55,Estonia,Europe,5.893,1.237,0.874,0.495,0.292
56,Jamaica,North America,5.89,0.831,0.831,0.49,0.425
57,Mauritius,Africa,5.888,1.12,0.798,0.498,0.393
58,Japan,Asia,5.886,1.327,1.088,0.445,0.313
59,Honduras,North America,5.86,0.642,0.828,0.507,0.375
60,Kazakhstan,Europe,5.809,1.173,0.729,0.41,0.357
61,Bolivia,South America,5.779,0.776,0.706,0.511,0.389
62,Hungary,Europe,5.758,1.201,0.828,0.199,0.433
63,Paraguay,South America,5.743,0.855,0.777,0.514,0.373
64,Northern Cyprus,Europe,5.718,1.263,1.042,0.417,0.291
65,Peru,South America,5.697,0.96,0.854,0.455,0.426
66,Portugal,Europe,5.693,1.221,0.999,0.508,0.428
67,Pakistan,Asia,5.653,0.677,0.535,0.313,0.355
68,Russia,Asia,5.648,1.183,0.726,0.334,0.422
69,Philippines,Asia,5.631,0.807,0.657,0.558,0.346
70,Serbia,Europe,5.603,1.004,0.854,0.282,0.414
71,Moldova,Europe,5.529,0.685,0.739,0.245,0.453
72,Libya,Africa,5.525,1.044,0.673,0.416,0.301
